"year_quarter","Tasking_Location","base","score"
"2019 Jan to Mar","Beach/Cliff","Lee On Solent",11
"2019 Jan to Mar","Beach/Cliff","Lydd",17
"2019 Jan to Mar","Beach/Cliff","Newquay",14
"2019 Jan to Mar","Beach/Cliff","Prestwick",6
"2019 Jan to Mar","Beach/Cliff","St Athan",12
"2019 Jan to Mar","Beach/Cliff","Stornoway",1
"2019 Jan to Mar","Beach/Cliff","Sumburgh",1
"2019 Jan to Mar","Mountain","Caernarfon",16
"2019 Jan to Mar","Mountain","Humberside",1
"2019 Jan to Mar","Mountain","Inverness",17
"2019 Jan to Mar","Mountain","Lee On Solent",0
"2019 Jan to Mar","Mountain","Lydd",0
"2019 Jan to Mar","Mountain","Newquay",0
"2019 Jan to Mar","Mountain","Prestwick",15
"2019 Jan to Mar","Mountain","St Athan",2
"2019 Jan to Mar","Mountain","Stornoway",6
"2019 Jan to Mar","Mountain","Sumburgh",0
"2019 Jan to Mar","Other","Caernarfon",19
"2019 Jan to Mar","Other","Humberside",16
"2019 Jan to Mar","Other","Inverness",25
"2019 Jan to Mar","Other","Lee On Solent",41
"2019 Jan to Mar","Other","Lydd",11
"2019 Jan to Mar","Other","Newquay",42
"2019 Jan to Mar","Other","Prestwick",39
"2019 Jan to Mar","Other","St Athan",18
"2019 Jan to Mar","Other","Stornoway",15
"2019 Jan to Mar","Other","Sumburgh",28
"2019 Jan to Mar","Vessel","Caernarfon",5
"2019 Jan to Mar","Vessel","Humberside",8
"2019 Jan to Mar","Vessel","Inverness",1
"2019 Jan to Mar","Vessel","Lee On Solent",6
"2019 Jan to Mar","Vessel","Lydd",4
"2019 Jan to Mar","Vessel","Newquay",8
"2019 Jan to Mar","Vessel","Prestwick",4
"2019 Jan to Mar","Vessel","St Athan",5
"2019 Jan to Mar","Vessel","Stornoway",3
"2019 Jan to Mar","Vessel","Sumburgh",4
"2019 Apr to Jun","Beach/Cliff","Caernarfon",13
"2019 Apr to Jun","Beach/Cliff","Humberside",12
"2019 Apr to Jun","Beach/Cliff","Inverness",4
"2019 Apr to Jun","Beach/Cliff","Lee On Solent",14
"2019 Apr to Jun","Beach/Cliff","Lydd",23
"2019 Apr to Jun","Beach/Cliff","Newquay",30
