"year_quarter","Tasking_Location","base","score"
"2024 Jan to Mar","Mountain","Newquay",0
"2024 Jan to Mar","Mountain","Prestwick",31
"2024 Jan to Mar","Mountain","St Athan",10
"2024 Jan to Mar","Mountain","Stornoway",4
"2024 Jan to Mar","Mountain","Sumburgh",0
"2024 Jan to Mar","Other","Caernarfon",28
"2024 Jan to Mar","Other","Humberside",20
"2024 Jan to Mar","Other","Inverness",46
"2024 Jan to Mar","Other","Lee On Solent",35
"2024 Jan to Mar","Other","Lydd",10
"2024 Jan to Mar","Other","Newquay",42
"2024 Jan to Mar","Other","Prestwick",44
"2024 Jan to Mar","Other","St Athan",19
"2024 Jan to Mar","Other","Stornoway",30
"2024 Jan to Mar","Other","Sumburgh",58
"2024 Jan to Mar","Vessel","Caernarfon",2
"2024 Jan to Mar","Vessel","Humberside",7
"2024 Jan to Mar","Vessel","Inverness",3
"2024 Jan to Mar","Vessel","Lee On Solent",4
"2024 Jan to Mar","Vessel","Lydd",5
"2024 Jan to Mar","Vessel","Newquay",12
"2024 Jan to Mar","Vessel","Prestwick",4
"2024 Jan to Mar","Vessel","St Athan",3
"2024 Jan to Mar","Vessel","Stornoway",3
"2024 Jan to Mar","Vessel","Sumburgh",6
"2024 Apr to Jun","Beach/Cliff","Caernarfon",20
"2024 Apr to Jun","Beach/Cliff","Humberside",14
"2024 Apr to Jun","Beach/Cliff","Inverness",9
"2024 Apr to Jun","Beach/Cliff","Lee On Solent",23
"2024 Apr to Jun","Beach/Cliff","Lydd",30
"2024 Apr to Jun","Beach/Cliff","Newquay",21
"2024 Apr to Jun","Beach/Cliff","Prestwick",17
"2024 Apr to Jun","Beach/Cliff","St Athan",29
"2024 Apr to Jun","Beach/Cliff","Stornoway",10
"2024 Apr to Jun","Beach/Cliff","Sumburgh",1
"2024 Apr to Jun","Mountain","Caernarfon",31
"2024 Apr to Jun","Mountain","Humberside",5
"2024 Apr to Jun","Mountain","Inverness",35
"2024 Apr to Jun","Mountain","Lee On Solent",0
"2024 Apr to Jun","Mountain","Lydd",0
"2024 Apr to Jun","Mountain","Newquay",0
"2024 Apr to Jun","Mountain","Prestwick",33
"2024 Apr to Jun","Mountain","St Athan",7
"2024 Apr to Jun","Mountain","Stornoway",22
"2024 Apr to Jun","Mountain","Sumburgh",0
"2024 Apr to Jun","Other","Caernarfon",24
"2024 Apr to Jun","Other","Humberside",30
"2024 Apr to Jun","Other","Inverness",37
"2024 Apr to Jun","Other","Lee On Solent",30
"2024 Apr to Jun","Other","Lydd",48
"2024 Apr to Jun","Other","Newquay",56
"2024 Apr to Jun","Other","Prestwick",80
"2024 Apr to Jun","Other","St Athan",34
"2024 Apr to Jun","Other","Stornoway",31
"2024 Apr to Jun","Other","Sumburgh",47
"2024 Apr to Jun","Vessel","Caernarfon",4
"2024 Apr to Jun","Vessel","Humberside",9
"2024 Apr to Jun","Vessel","Inverness",6
"2024 Apr to Jun","Vessel","Lee On Solent",12
"2024 Apr to Jun","Vessel","Lydd",9
"2024 Apr to Jun","Vessel","Newquay",15
"2024 Apr to Jun","Vessel","Prestwick",6
"2024 Apr to Jun","Vessel","St Athan",9
"2024 Apr to Jun","Vessel","Stornoway",6
"2024 Apr to Jun","Vessel","Sumburgh",13
"2024 Jul to Sep","Beach/Cliff","Caernarfon",18
"2024 Jul to Sep","Beach/Cliff","Humberside",20
"2024 Jul to Sep","Beach/Cliff","Inverness",14
"2024 Jul to Sep","Beach/Cliff","Lee On Solent",44
"2024 Jul to Sep","Beach/Cliff","Lydd",39
"2024 Jul to Sep","Beach/Cliff","Newquay",26
"2024 Jul to Sep","Beach/Cliff","Prestwick",21
"2024 Jul to Sep","Beach/Cliff","St Athan",43
"2024 Jul to Sep","Beach/Cliff","Stornoway",6
"2024 Jul to Sep","Beach/Cliff","Sumburgh",0
"2024 Jul to Sep","Mountain","Caernarfon",63
"2024 Jul to Sep","Mountain","Humberside",6
"2024 Jul to Sep","Mountain","Inverness",43
"2024 Jul to Sep","Mountain","Lee On Solent",0
"2024 Jul to Sep","Mountain","Lydd",0
"2024 Jul to Sep","Mountain","Newquay",0
"2024 Jul to Sep","Mountain","Prestwick",34
"2024 Jul to Sep","Mountain","St Athan",8
"2024 Jul to Sep","Mountain","Stornoway",18
"2024 Jul to Sep","Mountain","Sumburgh",0
"2024 Jul to Sep","Other","Caernarfon",40
"2024 Jul to Sep","Other","Humberside",28
"2024 Jul to Sep","Other","Inverness",44
"2024 Jul to Sep","Other","Lee On Solent",36
"2024 Jul to Sep","Other","Lydd",26
"2024 Jul to Sep","Other","Newquay",54
"2024 Jul to Sep","Other","Prestwick",61
"2024 Jul to Sep","Other","St Athan",28
"2024 Jul to Sep","Other","Stornoway",31
"2024 Jul to Sep","Other","Sumburgh",46
"2024 Jul to Sep","Vessel","Caernarfon",11
"2024 Jul to Sep","Vessel","Humberside",7
"2024 Jul to Sep","Vessel","Inverness",7
"2024 Jul to Sep","Vessel","Lee On Solent",24
"2024 Jul to Sep","Vessel","Lydd",14
"2024 Jul to Sep","Vessel","Newquay",11
"2024 Jul to Sep","Vessel","Prestwick",10
"2024 Jul to Sep","Vessel","St Athan",9
"2024 Jul to Sep","Vessel","Stornoway",13
"2024 Jul to Sep","Vessel","Sumburgh",9
"2024 Oct to Dec","Beach/Cliff","Caernarfon",8
"2024 Oct to Dec","Beach/Cliff","Humberside",9
"2024 Oct to Dec","Beach/Cliff","Inverness",6
"2024 Oct to Dec","Beach/Cliff","Lee On Solent",18
"2024 Oct to Dec","Beach/Cliff","Lydd",29
"2024 Oct to Dec","Beach/Cliff","Newquay",13
"2024 Oct to Dec","Beach/Cliff","Prestwick",12
"2024 Oct to Dec","Beach/Cliff","St Athan",17
"2024 Oct to Dec","Beach/Cliff","Stornoway",1
"2024 Oct to Dec","Beach/Cliff","Sumburgh",1
"2024 Oct to Dec","Mountain","Caernarfon",14
"2024 Oct to Dec","Mountain","Humberside",2
"2024 Oct to Dec","Mountain","Inverness",11
"2024 Oct to Dec","Mountain","Lee On Solent",0
"2024 Oct to Dec","Mountain","Lydd",0
"2024 Oct to Dec","Mountain","Newquay",1
"2024 Oct to Dec","Mountain","Prestwick",24
"2024 Oct to Dec","Mountain","St Athan",3
"2024 Oct to Dec","Mountain","Stornoway",3
"2024 Oct to Dec","Mountain","Sumburgh",0
"2024 Oct to Dec","Other","Caernarfon",32
"2024 Oct to Dec","Other","Humberside",29
"2024 Oct to Dec","Other","Inverness",52
"2024 Oct to Dec","Other","Lee On Solent",31
"2024 Oct to Dec","Other","Lydd",22
"2024 Oct to Dec","Other","Newquay",48
"2024 Oct to Dec","Other","Prestwick",65
"2024 Oct to Dec","Other","St Athan",39
"2024 Oct to Dec","Other","Stornoway",33
"2024 Oct to Dec","Other","Sumburgh",42
"2024 Oct to Dec","Vessel","Caernarfon",0
"2024 Oct to Dec","Vessel","Humberside",10
"2024 Oct to Dec","Vessel","Inverness",4
"2024 Oct to Dec","Vessel","Lee On Solent",5
"2024 Oct to Dec","Vessel","Lydd",3
"2024 Oct to Dec","Vessel","Newquay",6
"2024 Oct to Dec","Vessel","Prestwick",4
"2024 Oct to Dec","Vessel","St Athan",2
"2024 Oct to Dec","Vessel","Stornoway",4
"2024 Oct to Dec","Vessel","Sumburgh",5
"2025 Jan to Mar","Beach/Cliff","Caernarfon",13
"2025 Jan to Mar","Beach/Cliff","Humberside",11
"2025 Jan to Mar","Beach/Cliff","Inverness",7
"2025 Jan to Mar","Beach/Cliff","Lee On Solent",15
"2025 Jan to Mar","Beach/Cliff","Lydd",17
"2025 Jan to Mar","Beach/Cliff","Newquay",15
"2025 Jan to Mar","Beach/Cliff","Prestwick",11
"2025 Jan to Mar","Beach/Cliff","St Athan",12
"2025 Jan to Mar","Beach/Cliff","Stornoway",4
"2025 Jan to Mar","Beach/Cliff","Sumburgh",0
"2025 Jan to Mar","Mountain","Caernarfon",27
"2025 Jan to Mar","Mountain","Humberside",4
"2025 Jan to Mar","Mountain","Inverness",21
"2025 Jan to Mar","Mountain","Lee On Solent",0
"2025 Jan to Mar","Mountain","Lydd",0
"2025 Jan to Mar","Mountain","Newquay",0
"2025 Jan to Mar","Mountain","Prestwick",20
"2025 Jan to Mar","Mountain","St Athan",10
"2025 Jan to Mar","Mountain","Stornoway",12
"2025 Jan to Mar","Mountain","Sumburgh",1
"2025 Jan to Mar","Other","Caernarfon",18
"2025 Jan to Mar","Other","Humberside",34
"2025 Jan to Mar","Other","Inverness",26
"2025 Jan to Mar","Other","Lee On Solent",18
"2025 Jan to Mar","Other","Lydd",16
"2025 Jan to Mar","Other","Newquay",38
"2025 Jan to Mar","Other","Prestwick",50
"2025 Jan to Mar","Other","St Athan",20
"2025 Jan to Mar","Other","Stornoway",18
"2025 Jan to Mar","Other","Sumburgh",40
"2025 Jan to Mar","Vessel","Caernarfon",2
"2025 Jan to Mar","Vessel","Humberside",9
"2025 Jan to Mar","Vessel","Inverness",4
"2025 Jan to Mar","Vessel","Lee On Solent",4
"2025 Jan to Mar","Vessel","Lydd",5
"2025 Jan to Mar","Vessel","Newquay",4
"2025 Jan to Mar","Vessel","Prestwick",2
"2025 Jan to Mar","Vessel","St Athan",1
"2025 Jan to Mar","Vessel","Stornoway",4
"2025 Jan to Mar","Vessel","Sumburgh",3
